Node ID,Pair ID,Coreness
7188,7,0
1,7,1
430,7,1
3134,7,0
3026,7,0
3010,7,0
804,7,0
160,7,1
95,7,1
377,0,1
888,7,1
89,7,1
1901,7,0
161,7,1
256,7,1
351,7,0
3329,7,0
3341,7,0
649,7,0
1583,7,0
87,7,1
37,7,1
309,7,1
821,7,1
1496,7,1
637,7,0
964,7,0
594,7,1
2249,7,0
554,7,1
20,7,1
2227,7,0
1315,7,0
519,7,0
1316,7,0
2149,7,0
1724,7,0
18,7,1
57,7,1
118,7,1
3254,7,0
1177,7,0
112,7,1
11,7,0
586,7,1
35,7,1
15,15,1
1445,7,0
152,7,1
2,7,1
113,7,0
44,7,1
2401,7,0
10,7,1
2378,7,0
126,7,1
3245,7,0
783,7,0
493,7,1
1358,7,0
1180,7,0
529,7,1
333,7,0
1538,7,0
2282,7,0
1519,7,0
2966,7,0
474,7,1
330,7,0
958,7,0
17,7,1
1295,7,1
38,7,1
1952,7,0
223,7,1
625,7,1
1392,7,0
3355,7,0
1881,2,0
58,7,1
96,7,1
1580,7,1
196,7,1
146,7,1
416,7,1
1198,7,0
3319,7,0
1867,7,0
896,7,0
617,7,1
3300,7,0
1877,7,0
462,7,1
3279,7,0
454,7,0
1860,7,0
121,7,1
151,7,1
1570,7,0
1573,7,0
1063,7,0
1353,7,1
459,7,1
2334,7,0
1267,7,1
1060,7,1
1061,7,0
7431,7,0
1355,7,0
71,7,1
3070,7,0
2113,7,0
3001,7,0
396,7,1
2260,7,0
142,7,1
2238,7,1
123,7,1
2942,7,0
1509,7,1
7410,7,1
1760,7,1
2876,7,0
259,7,1
1493,7,1
2845,7,0
370,7,0
2844,7,0
2167,7,1
156,7,1
2808,7,0
255,7,1
736,7,0
7603,7,1
346,7,0
9,7,1
75,7,0
175,7,1
2754,7,0
22,7,1
155,7,1
1261,7,0
2552,7,0
2586,7,0
710,7,0
578,7,0
472,7,0
2472,7,0
1606,7,0
4,7,1
563,7,1
744,7,0
3422,7,0
250,7,1
249,7,1
