source,target,weight
7188,1,{'weight': 10}
1,160,{'weight': 10}
1,1028,{'weight': 7}
1,309,{'weight': 5}
1,11,{'weight': 5}
1,594,{'weight': 5}
1,1316,{'weight': 5}
1,1392,{'weight': 4}
1,1583,{'weight': 4}
1,888,{'weight': 4}
1,637,{'weight': 4}
1,1520,{'weight': 4}
1,18,{'weight': 4}
1,35,{'weight': 4}
1,1901,{'weight': 3}
1,44,{'weight': 3}
1,10,{'weight': 3}
1,783,{'weight': 3}
1,821,{'weight': 3}
1,112,{'weight': 3}
1,964,{'weight': 3}
1,89,{'weight': 3}
1,20,{'weight': 3}
1,256,{'weight': 3}
1,223,{'weight': 3}
1,1881,{'weight': 2}
1,351,{'weight': 2}
1,196,{'weight': 2}
1,416,{'weight': 2}
1,1877,{'weight': 2}
1,87,{'weight': 2}
1,2367,{'weight': 2}
1,3254,{'weight': 2}
1,1573,{'weight': 2}
1,247,{'weight': 2}
1,1353,{'weight': 2}
1,493,{'weight': 2}
1,1358,{'weight': 2}
1,1177,{'weight': 2}
1,1538,{'weight': 2}
1,2296,{'weight': 2}
1,222,{'weight': 2}
1,2282,{'weight': 2}
1,2113,{'weight': 2}
1,2260,{'weight': 2}
1,71,{'weight': 2}
1,142,{'weight': 2}
1,2249,{'weight': 2}
1,1519,{'weight': 2}
1,2227,{'weight': 2}
1,1496,{'weight': 2}
1,519,{'weight': 2}
1,1493,{'weight': 2}
1,1315,{'weight': 2}
1,1750,{'weight': 2}
1,156,{'weight': 2}
1,9,{'weight': 2}
1,1724,{'weight': 2}
1,22,{'weight': 2}
1,15,{'weight': 2}
1,255,{'weight': 2}
1,1267,{'weight': 2}
1,1261,{'weight': 2}
1,57,{'weight': 2}
1,710,{'weight': 2}
1,472,{'weight': 2}
1,152,{'weight': 2}
1,1952,{'weight': 2}
1,1606,{'weight': 2}
1,379,{'weight': 2}
1,4,{'weight': 2}
1,563,{'weight': 2}
1,113,{'weight': 2}
1,744,{'weight': 1}
1,625,{'weight': 1}
1,3422,{'weight': 1}
1,3421,{'weight': 1}
1,3418,{'weight': 1}
1,3402,{'weight': 1}
1,250,{'weight': 1}
1,249,{'weight': 1}
1,2427,{'weight': 1}
1,3414,{'weight': 1}
1,1590,{'weight': 1}
1,3355,{'weight': 1}
1,2305,{'weight': 1}
1,1900,{'weight': 1}
1,3385,{'weight': 1}
1,1147,{'weight': 1}
1,377,{'weight': 1}
1,1072,{'weight': 1}
1,96,{'weight': 1}
1,118,{'weight': 1}
1,3375,{'weight': 1}
