source,target,weight
6,2,{'weight': 4}
6,5,{'weight': 2}
6,4,{'weight': 2}
6,7,{'weight': 5}
6,114,{'weight': 2}
6,32,{'weight': 1}
6,173,{'weight': 3}
6,258,{'weight': 1}
6,268,{'weight': 3}
6,219,{'weight': 4}
6,198,{'weight': 2}
6,35,{'weight': 4}
6,664,{'weight': 1}
6,937,{'weight': 1}
6,384,{'weight': 6}
6,521,{'weight': 1}
6,280,{'weight': 1}
6,687,{'weight': 1}
6,1386,{'weight': 3}
6,537,{'weight': 5}
6,1317,{'weight': 2}
6,1566,{'weight': 1}
6,2034,{'weight': 1}
6,2455,{'weight': 1}
6,1383,{'weight': -10}
6,1810,{'weight': 3}
6,2028,{'weight': 1}
6,1363,{'weight': 8}
6,10,{'weight': 3}
6,1,{'weight': 8}
6,1018,{'weight': 1}
6,1832,{'weight': 1}
6,1624,{'weight': 3}
6,550,{'weight': 1}
6,1331,{'weight': -10}
6,2642,{'weight': 4}
6,856,{'weight': 8}
6,2188,{'weight': 9}
6,2187,{'weight': 5}
6,1752,{'weight': 5}
2,21,{'weight': 5}
2,20,{'weight': 5}
2,4,{'weight': 5}
2,54,{'weight': 2}
2,132,{'weight': 2}
2,3,{'weight': 8}
2,142,{'weight': 1}
2,110,{'weight': 1}
2,149,{'weight': 1}
2,166,{'weight': 1}
2,156,{'weight': 1}
2,1,{'weight': 8}
2,7,{'weight': 5}
2,60,{'weight': 5}
2,62,{'weight': 8}
2,77,{'weight': 2}
2,198,{'weight': 5}
2,455,{'weight': 1}
2,401,{'weight': 2}
2,632,{'weight': 1}
2,658,{'weight': 1}
2,516,{'weight': 1}
2,651,{'weight': 2}
2,758,{'weight': 1}
2,744,{'weight': 1}
2,634,{'weight': 1}
2,732,{'weight': 1}
2,13,{'weight': 1}
2,779,{'weight': 1}
2,654,{'weight': 3}
2,202,{'weight': 2}
2,832,{'weight': -10}
2,204,{'weight': -1}
2,1363,{'weight': 8}
2,167,{'weight': 8}
2,39,{'weight': 8}
2,223,{'weight': 8}
2,245,{'weight': 8}
2,178,{'weight': 3}
2,23,{'weight': 5}
2,135,{'weight': 2}
2,6,{'weight': 5}
2,3397,{'weight': 5}
2,41,{'weight': 2}
2,5929,{'weight': 8}
5,1,{'weight': 3}
5,6,{'weight': 3}
5,7,{'weight': 1}
1,15,{'weight': 1}
1,5,{'weight': 4}
1,32,{'weight': 1}
1,34,{'weight': 1}
1,17,{'weight': 9}
1,31,{'weight': 2}
1,13,{'weight': 3}
1,20,{'weight': 2}
1,54,{'weight': 1}
1,56,{'weight': 2}
1,71,{'weight': 1}
1,74,{'weight': 1}
1,78,{'weight': 1}
1,68,{'weight': 2}
1,81,{'weight': 1}
1,101,{'weight': 1}
1,119,{'weight': 1}
1,2,{'weight': 8}
1,76,{'weight': 2}
1,23,{'weight': 6}
1,138,{'weight': 1}
1,110,{'weight': 1}
1,145,{'weight': 1}
1,114,{'weight': 2}
1,111,{'weight': 2}
1,7,{'weight': 9}
1,165,{'weight': 1}
1,19,{'weight': 6}
1,223,{'weight': 7}
1,225,{'weight': 1}
1,132,{'weight': 1}
1,227,{'weight': 1}
1,104,{'weight': 1}
1,64,{'weight': 3}
1,245,{'weight': 1}
1,247,{'weight': 1}
1,234,{'weight': 1}
1,251,{'weight': 2}
1,260,{'weight': 1}
1,261,{'weight': 1}
1,109,{'weight': 1}
1,271,{'weight': 1}
1,274,{'weight': 1}
1,141,{'weight': 1}
1,296,{'weight': 1}
1,180,{'weight': 1}
1,311,{'weight': 1}
1,312,{'weight': 1}
1,139,{'weight': 2}
1,324,{'weight': 1}
1,356,{'weight': 1}
1,51,{'weight': 1}
1,384,{'weight': 1}
1,399,{'weight': 1}
1,438,{'weight': 1}
1,442,{'weight': 1}
1,144,{'weight': 5}
1,219,{'weight': 3}
1,47,{'weight': 3}
1,320,{'weight': 3}
1,464,{'weight': 1}
1,431,{'weight': 1}
1,486,{'weight': 1}
1,416,{'weight': 1}
1,505,{'weight': 1}
1,421,{'weight': 2}
1,80,{'weight': 2}
1,29,{'weight': 4}
1,511,{'weight': 1}
1,494,{'weight': 1}
1,534,{'weight': 5}
1,537,{'weight': 1}
1,563,{'weight': 1}
1,567,{'weight': 1}
1,569,{'weight': 1}
1,215,{'weight': 1}
1,579,{'weight': 1}
1,61,{'weight': 5}
